Sample,Num Entries
Angiotensine+CHCA,12
Anhydrite,275
Augite,363
BetaCarotene+FS121,80
Butterfinger,151
CaSiO3,191
Chlorophyll A,46
CsI in Hematite,140
CsI in Mont,63
DGDG,58
Dolomite,313
Epsomite,116
Gabion Basalt,141
Glu in Mont,102
Gly+Ala+Ser mixture + CHCA,325
Graphite,113
Hopane,162
Kerogen (Type IV),120
MGDG,210
Magadi kerogen,126
Magnetite,275
MgSO4,185
Mix in Mont,407
MnSO4,260
Montmorillonite,297
Nontronite,9
Orthoclase,432
Phe in Mont + Mg Perc.,359
Phospholipids,212
Phosphorus,392
Phthalic Acid in Mont + Mg Perc.,216
Rhodamine 6G,32
Saponite,45
Valine in Jerosite,100
